"","i","j","f.i.wt","f.j.wt","f.i.j","f.ij.i","f.ij.j","ep.ij","ep.ji","max.ep","delta","fmax"
"1576","ACOAD3f","3OAR60",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1577","ACOAD3f","3OAR80",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1578","ACOAD3f","3OAS100",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1579","ACOAD3f","3OAS120",-0.076691956210836,0,-0.076691956210836,-0.0137925621610413,-0.0904845126106709,-0.0137925621610413,-0.0137925563998349,-0.0137925621610413,-5.76120640083388e-09,0.0904845183718773
"1580","ACOAD3f","3OAS60",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1581","ACOAD3f","3OAS80",-0.076691956210836,0,-0.076691956210836,-2.3074396791872,-2.38413066232022,-2.3074396791872,-2.30743870610939,-2.3074396791872,-9.7307780988487e-07,2.38413163539803
"1582","ACOAD3f","AACPS3",-0.076691956210836,-0.00497464115400093,-0.0717173171019487,-0.00116677837268422,-0.0728840950219187,0.0038078627813167,0.00380786118891736,0.0038078627813167,1.59239933739119e-09,0.0778587361759196
"1583","ACOAD3f","AACPS4",-0.076691956210836,-0.00586114698576704,-0.0708308116088685,-0.00137509239467472,-0.0722059033909123,0.00448605459109233,0.00448605281992369,0.00448605459109233,1.77116864230609e-09,0.0780670503766794
"1584","ACOAD3f","AACPS7",-0.076691956210836,-0.00303586957951223,-0.0736560878137827,1.80937487213623e-11,-0.0736560878137827,0.00303586959760598,0.00303586839705329,0.00303586959760598,1.20055268504338e-09,0.076691957393295
"1585","ACOAD3f","ACACT4r",-0.076691956210836,-0.0459055730003584,-0.0307863910176689,1.80937487213623e-11,-0.0307863910176689,0.0459055730184521,0.0459055651931671,0.0459055730184521,7.82528503107116e-09,0.0766919640180273
"1586","ACOAD3f","ACACT5r",-0.076691956210836,-0.0324584655785175,-0.0442334985360919,1.80937487213623e-11,-0.0442334985360919,0.0324584655966112,0.0324584576747441,0.0324584655966112,7.92186713449716e-09,0.0766919641146094
"1587","ACOAD3f","ACACT6r",-0.076691956210836,-0.0258447165767701,-0.0508472469283925,-0.00254048079195671,-0.0533877270618826,0.0233042357848134,0.0233042291489534,0.0233042357848134,6.63586002813688e-09,0.0792324436386528
"1588","ACOAD3f","ACACT7r",-0.076691956210836,-0.0108113831464421,-0.0658805770914118,-0.00254048079195671,-0.0684210570183959,0.00827090235448535,0.00827089919244015,0.00827090235448535,3.1620452090042e-09,0.0792324401648379
"1589","ACOAD3f","ACOAD4f",-0.076691956210836,-0.0459055730003584,-0.0307863961202493,1.80937487213623e-11,-0.0307863910176689,0.0459055730184521,0.0459055651931671,0.0459055730184521,7.82528503107116e-09,0.0766919640180273
"1590","ACOAD3f","ACOAD5f",-0.076691956210836,-0.0324584655785175,-0.0442335090704003,1.80937487213623e-11,-0.0442334985360919,0.0324584655966112,0.0324584576747441,0.0324584655966112,7.92186713449716e-09,0.0766919641146094
"1591","ACOAD3f","ACOAD6f",-0.076691956210836,-0.0157410537804863,-0.060950927804761,-0.00254048079195671,-0.0634913877429353,0.0132005729885296,0.0132005684679007,0.0132005729885296,4.52062884348514e-09,0.0792324415234216
"1592","ACOAD3f","ACOAD7f",-0.076691956210836,-0.00497464115400093,-0.0717173449406442,-0.00116677837268422,-0.0728840950219187,0.0038078627813167,0.00380786118891736,0.0038078627813167,1.59239933739119e-09,0.0778587361759196
"1593","ACOAD3f","AGPAT120",-0.076691956210836,0,-0.0766919882231903,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1594","ACOAD3f","CBMKr",-0.076691956210836,-0.0321913261533593,-0.0445006486390715,-0.0301666234052823,-0.0746672541657999,0.00202470274807698,0.0020247020450361,0.00202470274807698,7.03040875515981e-10,0.106858580319159
"1595","ACOAD3f","CTECOAI7",-0.076691956210836,-0.00586114698576704,-0.0708308387846422,-0.00137509239467472,-0.0722059033909123,0.00448605459109233,0.00448605281992369,0.00448605459109233,1.77116864230609e-09,0.0780670503766794
"1596","ACOAD3f","EAR100x",-0.076691956210836,0,-0.0766919882231903,-0.00387499057326107,-0.0805669452978259,-0.00387499057326107,-0.00387498908698992,-0.00387499057326107,-1.48627114782141e-09,0.0805669467840971
"1597","ACOAD3f","EAR120x",-0.076691956210836,0,-0.0766919882231903,-0.00387499057326107,-0.0805669452978259,-0.00387499057326107,-0.00387498908698992,-0.00387499057326107,-1.48627114782141e-09,0.0805669467840971
"1598","ACOAD3f","EAR40x",-0.076691956210836,0,-0.0766919882231903,-0.00433199816850419,-0.0810239525814748,-0.00433199816850419,-0.00433199637063879,-0.00433199816850419,-1.79786539822313e-09,0.0810239543793402
"1599","ACOAD3f","EAR60x",-0.076691956210836,0,-0.0766919882231903,-0.00433199816850419,-0.0810239525814748,-0.00433199816850419,-0.00433199637063879,-0.00433199816850419,-1.79786539822313e-09,0.0810239543793402
"1600","ACOAD3f","EAR80x",-0.076691956210836,0,-0.0766919882231903,-0.00433199816850419,-0.0810239525814748,-0.00433199816850419,-0.00433199637063879,-0.00433199816850419,-1.79786539822313e-09,0.0810239543793402
"1601","ACOAD3f","ECOAH1",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1602","ACOAD3f","ECOAH2",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1603","ACOAD3f","ECOAH3",-0.076691956210836,-0.076691956210836,-1.80937487213623e-11,1.80937487213623e-11,1.80937487213623e-11,0.0766919562289298,0.0766919562289298,0.0766919562289298,0,0.0766919561927423
"1604","ACOAD3f","ECOAH4",-0.076691956210836,-0.0459055730003584,-0.0307863961202493,1.80937487213623e-11,-0.0307863910176689,0.0459055730184521,0.0459055651931671,0.0459055730184521,7.82528503107116e-09,0.0766919640180273
"1605","ACOAD3f","ECOAH5",-0.076691956210836,-0.0324584655785175,-0.0442335090704003,1.80937487213623e-11,-0.0442334985360919,0.0324584655966112,0.0324584576747441,0.0324584655966112,7.92186713449716e-09,0.0766919641146094
"1606","ACOAD3f","ECOAH6",-0.076691956210836,-0.0258447165767701,-0.0508472608535556,-0.00254048079195671,-0.0533877270618826,0.0233042357848134,0.0233042291489534,0.0233042357848134,6.63586002813688e-09,0.0792324436386528
"1607","ACOAD3f","ECOAH7",-0.076691956210836,-0.0108113831464421,-0.0658806005644278,-0.00254048079195671,-0.0684210570183959,0.00827090235448535,0.00827089919244015,0.00827090235448535,3.1620452090042e-09,0.0792324401648379
"1608","ACOAD3f","FACOAE120",-0.076691956210836,-0.00303586957951223,-0.0736561173093347,1.80937487213623e-11,-0.0736560878137827,0.00303586959760598,0.00303586839705329,0.00303586959760598,1.20055268504338e-09,0.076691957393295
"1609","ACOAD3f","FACOAE160",-0.076691956210836,-0.00497464115400093,-0.0717173449406442,-0.00116677837268422,-0.0728840950219187,0.0038078627813167,0.00380786118891736,0.0038078627813167,1.59239933739119e-09,0.0778587361759196
"1610","ACOAD3f","FACOAE161",-0.076691956210836,-0.00586114698576704,-0.0708308387846422,-0.00137509239467472,-0.0722059033909123,0.00448605459109233,0.00448605281992369,0.00448605459109233,1.77116864230609e-09,0.0780670503766794
"1611","ACOAD3f","FACOAL120t2pp",-0.076691956210836,0,-0.0766919882231903,-0.00254048079195671,-0.07923243608875,-0.00254048079195671,-0.00254047987791398,-0.00254048079195671,-9.14042730393305e-10,0.0792324370027927
"1612","ACOAD3f","FACOAL80",-0.076691956210836,0,-0.0766919882231903,0.0267907616334897,-0.0499012058057739,0.0267907616334897,0.0267907504050621,0.0267907616334897,1.12284275974317e-08,0.0499012058057739
