"M","env.effect","f.i.wt"
"ALCD4",0,NA
"ALCD4y",0,0
"ALCDkt",0,0
"ALDD1",1e-11,0
"ALDD10",0,0
"ALDD11",0,0
"ALDD12",0,0
"ALDD13",0,0
"ALDD14",0,0
"ALDD15",0,0
"ALDD16",0,0
"ALDD17",0,0
"ALDD18",0,0
"ALDD19xr",0,0
"ALDD20x",0,0
"ALDD20x_1",0,0
"ALDD2x",0,0
"ALDD2y",0,0
"ALDD3",0,0
"ALDD31",0,0
"ALDD31_1",0,0
"ALDD32",0,0
"ALDD3y",0,0
"ALDD4",0,0
"ALDD4x",0,0
"ALDD5",2.2e-10,0
"ALDD6",0,0
"ALDD7",2.2e-10,0
"ALDD8",1e-11,0
"ALDD9",1e-11,0
"ALKP",0,0
"ALLabcpp",0,0
"ALLK",0,0
"ALLPI",0,0
"ALLTAHr",0,0
"ALLTAMH",0,0
"ALLTN",0,0
"ALLTNt2r",0,0
"ALLTNt2rpp",0,0
"ALLULPE",0,0
"ALPATE160pp",0,0
"ALPATE160pp_1",0,0
"ALPATG160pp",0,0
"ALPATG160pp_1",0,0
"ALR2",0,0
"ALR3",0,0
"ALR4x",0,0
"ALTRH",0,0
"AM3PA",0,0
"AM4PA",0,0
"AM4PCP",0,0
"AMAA",0,0
"AMALT1",0,0
"AMALT2",0,0
"AMALT3",1e-11,0
"AMALT4",0,0
"AMANAPEr",0,0
"AMANK",0,0
"AMID",0,0
"AMID2",0,0
"AMID3",0,0
"AMID4",0,0
"AMID5",1.06e-10,0
"AMMQLT8",1.41e-11,0
"AMMQT6",0,0
"AMMQT7",0,0
"AMMQT8",0,0
"AMMQT8_2",0,0
"AMPMS",1e-11,0
"AMPN",0,0
"AMPt6",0,0
"AMPTASECG",0,0
"AMPTASEPG",0,0
"AMYe",0,0
"AMYLe",0,0
"ANHMK",0,0
"ANS2",0.0023768726,0.0014810796754422
"ANTIMt1",0,0
"AOBUTDs",0,0
"AOXHEXCYCL",0,0
"AOXSr",2.72e-10,0
"AP4AH",0,0
"AP4AS",0,0
"AP5AH",0,0
"APATi",0,0
"APATr",0,0
"APCS",0,0
"APENTAMAH",0,0
"APG3PAT120",0,0
"APG3PAT140",0,0
"APG3PAT141",0,0
"APG3PAT160",0,0
"APG3PAT161",0,0
"APG3PAT180",0,0
"APG3PAT181",1.22e-10,0
"APH120",0,0
"APH140",5.11e-10,0
"APH141",0,0
"APH160",0,0
"APH161",0,0
"APH180",0,0
"APH181",0,0
"APNPT",1e-11,0
"APOLPPS",0,0
"APPK",0,0
"APPLDHr",0,0
"APPLP",0,0
"APSR",0.0103866357,0.00647197122323299
"APTA1i",0,0
"APTNAT",0,0
"ARABDI",0,0
"ARABF",0,0
"ARABR",0,0
"ARABRr",0,0
"ARACHTA",0,0
"ARAI",0,0
"ARAT",0,0
"ARBabc",0,0
"ARBabcpp",1e-11,0
"ARB_Dabc",0,0
"ARBt2r",0,0
"ARBt2rpp",0,0
"ARBt3ipp",0,0
"ARBTNabcpp",0,0
"ARBTNexs",0,0
"ARBTNR1",0,0
"ARBTNR2",0,0
"ARBTNR3",0,0
"ARBTNtex",0,0
"ARBTNtonex",0,0
"ARBTNtpp",0,0
"ARBTpts",0,0
"ARBTptspp",0,0
"ARD",0,0
"ARD1",0,0
"ARD_1",0,0
"ARGabc",0,0
"ARGabcpp",0,0
"ARGAGMt7pp",0,0
"ARGDC",0,0
"ARGDCpp",0,0
"ARGDr",0,0
"ARGKr",0,0
"ARGN",0,0
"ARGN_1",0,0
"ARGORNt7",0,0
"ARGORNt7pp",0,0
"ARGPt6",0,0
"ARGt2r",0,0
"ARGt3pp",0,0
"ARGt5r",0,NA
"ARGTRS",0,0
"ARI",0,0
"AROH",0,0
"ARSENBabc",0,0
"ARSENBt2",0,0
"ARSNAt1",0,0
"ARSt1",0,0
"ARUH",0,0
"ASADi",4.74e-10,0
