Distance,Delta_Growth_Mean,Delta_Growth_Mean_Null,Delta_Growth_SE,Delta_Growth_SE_Null
238,0.0037826292,0.0028129737,0.0008178335,0.0002925957
239,0.0037826364,0.0028129508,0.0008178323,0.0002925919
240,0.0038589366,0.0028459861,0.0008215029,0.0002941149
241,0.0038198607,0.0028458939,0.0008207531,0.0002941131
242,0.0038240875,0.0028535669,0.0008206388,0.00029412
243,0.0038262304,0.0028680675,0.0008206452,0.0002940802
244,0.0038182651,0.0028676452,0.0008206436,0.0002940714
245,0.0038182941,0.0028677128,0.0008206459,0.0002940794
246,0.0038220439,0.0029024084,0.0008206629,0.0002957792
247,0.0038330546,0.0029022574,0.0008206781,0.0002957647
248,0.0038355238,0.0029023782,0.0008206727,0.0002957841
249,0.0038372482,0.0029022301,0.0008206666,0.0002957826
250,0.0038426688,0.0029015382,0.0008214515,0.00029571
251,0.0038426688,0.0029016081,0.0008214515,0.0002957177
252,0.0038435126,0.0029014583,0.0008214572,0.000295733
253,0.0038656926,0.0029057976,0.0008215269,0.0002955026
254,0.0038588947,0.0029063176,0.0008206311,0.000295562
255,0.0038588139,0.0029055908,0.0008206272,0.0002954923
256,0.0038581465,0.0029045633,0.0008206013,0.0002953741
257,0.00390095,0.0029420966,0.0008215154,0.0002974162
258,0.0038922462,0.0029910914,0.0008211808,0.0002997373
259,0.0038973761,0.0029991492,0.0008211721,0.0002997651
260,0.0038974778,0.003006316,0.0008211802,0.0002997754
261,0.0038974391,0.003003722,0.0008211786,0.0002994302
262,0.0039045993,0.0030107204,0.0008211753,0.0002994396
263,0.0038999024,0.003048393,0.0008211937,0.0003014278
264,0.0039122634,0.0030483463,0.0008212278,0.0003014213
265,0.0039122635,0.0030483473,0.0008212278,0.0003014213
266,0.0039097551,0.0030384093,0.0008211244,0.0003003417
267,0.0039480033,0.0030748383,0.0008218331,0.0003021772
268,0.0042268893,0.0031068541,0.0008689673,0.0003035568
269,0.0041952806,0.0031056185,0.0008685296,0.0003034176
270,0.0041378849,0.0030970899,0.0008678054,0.0003019557
271,0.0041398591,0.0031466642,0.0008678823,0.0003040933
272,0.0041387087,0.0031388314,0.0008678374,0.0003032359
273,0.0041383622,0.0031383125,0.0008678216,0.0003031923
274,0.0041382881,0.0031380215,0.0008678157,0.0003031675
275,0.0041368986,0.0031371335,0.0008677918,0.0003031312
276,0.004199804,0.0032261313,0.0008697706,0.0003086616
